review,address
"I see the trolls are already coming out for this film as well, its a damn shame. The film is fantastic, an unparalleled feat of blockbuster filmmaking. The breathtaking action and scale of the last act is amazing to be sure, but it's the first two acts, where delicate character moments, an irreplicable balance of ingenuity and wit, and emotion extracted without veering to the melodramatic (a fine line that only a script and direction as superb as this can walk without teetering) where the film really stands apart. For those who have followed the franchise from the beginning, this is the finale we deserved and then some. Bravo, bravo",9 Adkinson Close Seaton VIC 2790
"While it's a definite improvement over its snoozy predecessor, this latest installment in the franchise gets some things right but misses the mark on others. It's refreshing to see a superhero film that doesn't place an overreliance on special effects and action sequences, choosing (wisely) to take a more human and personal approach to telling its story. It also deftly incorporates humor that actually works and in just the right amounts at just the right times. Where it fails, though, it comes up supremely disappointing, such as lazily drawing upon time-worn plot devices that show a lack of imagination, a closing sequence that goes on far too long, giving short shrift to a number of key characters and employing a screenplay that all too often assumes viewer awareness of material from previous installments in this and related franchises (a real problem if one hasn't seen all the movies in question, something that many other cinematic franchises have successfully managed to avoid). Die-hard fans will no doubt love this, but, to the less initiated, this is likely to come across as a somewhat half-baked effort.",12 Adamson Crescent Werribee South  6151
"Avengers: Endgame is a triumphant and emotional closure of the MCU's Infinity saga, an epic series of 22 movies starting with 2008's Iron Man. Directors Joe and Anthony Russo have done a tremendous job in managing so many dozens of characters and making a great movie.Let me start with the bad news. Endgame isn't as impactful as Infinity War, because the 1st movie's Snap that erased countless living beings is about to be undone. Another reason for this is Thanos. In the 1st movie he was a perfectly balanced and well-written villain with a human side. In the latest movie he's been reduced to another blood-thirsty criminal, no different than Ronan the Accuser or Red Skull. I expected to see some more character development and backstory for Thanos, but there was none of that. Still Thanos proves to be more than a match for the heroes in combat, much more so than in Infinity War.Apart from Thanos, everything else in this movie is almost perfect. This is the culmination of 10 years and 21 MCU movies' worth of storytelling. The stakes are so high that nearly every MCU character joins the fight against Thanos' armies. I even expected to see the Kree, the Skrulls, and other cosmic beings such as Dormammu or the Celestials (it has happened in the comics) join the fight against Thanos as well because he's the biggest threat to the Universe, but I guess it would have been too much to ask for. The final battle is as chaotic as those of the Lord of the Rings or other epic blockbuster movies, with a satisfying ending nonetheless.But Endgame is not just fierce battles and non-stop violence. There is plenty of personal drama and tragedies happening, too. Characters confront their past and make amends with it. Others have to grief and keep going. But there is also tons of comedy and fun stuff, as you'd expect from an MCU movie. I could go on and on but I'd spoil things. The myriads of past comic book story references are impressive and touching.Kudos to the many actors involved. Everyone did their best job in this genre-defining movie.But most importantly, the audience in the cinema hall cheered, screamed, ""oooh""-ed and cried multiple times during the film's many important scenes. Particularly during the late Stan Lee's seemingly last ever cameo. That sense of community and ""we are in it together"" kind of feeling is not something usually found in other movies.Avengers: Endgame isn't the end for the MCU though. It's like the season finale of a TV series before the next one is broadcast later on. It's an episode where things calm down after the climax and story threads are wrapped up before the next adventure begins. The MCU will continue, but Marvel have yet to reveal their plans for the future. For now, there is the Spider-Man: Far From Home movie to wait for.",44 Adkinson Close Padstow VIC 2527
A more than worthy closure.AVENGERS ENDGAME is excellent in all aspects.Everything is well balanced.I love the Scarlet Witch.THIS CINEMATOGRAPHIC EVENT IS SO GREAT that there are no words to describe it.,8 Adamson Crescent Bullsbrook TAS 2484
I'm interested in this amazing blockbuster movie from MCU.In the end of the line this is a good endgame for marvel...,29 Abercorn Crescent Parramatta VIC 3435
"It's a good conclusion to a 21 movie saga.  It's not perfect, a little longer than it needs to be, but it's a very enjoyable film.  A trip down memory lane of 10 years of marvel movies.",41 Abercrombie Circuit Old Reynella  2250
"What a way to conclude the first chapter such a thrilling movie. The acting was really good I really just want to watch this movie over and over again,",23 Adamson Crescent Greensborough VIC 5127
"I was somewhat disappointed with Endgame. Following on from the epic that was Infinity war; which coupled action sequences with emotive dramatic scenes, the time-travel arcs in Endgame were peppered with too much slapstick-esque comedy and a lot of unnecessary fan service scenes.",90 Adamson Crescent Caulfield WA 3148
"This serves as the conclusion to the entire Marvel universe Infinity Stones saga. Not that there aren't going to be anymore movies. Disney likes making money. But with several main actors' contracts being up and bowing out, this will be the end for several of the original Avengers team. What results is something we've never quite see in a film: a season finale, the culmination of a franchise of multiple movies, characters, and story arcs. (The sheer logistics involved making this must've been insane.) And I had the hell of a time with it all!The one big issue about Avengers: Infinity War, the first installment of this film two-parter, is that it had to juggle so many characters, that there wasn't a lot of time for characterization. However, now the cast is narrowed down to mostly the original Avengers. Brought back is the characterization that made so many of the previous films. Here we find the heroes at their lowest and trying to right things. What proceeds is a great character piece We see the conclusion to some of stories of people we've gotten to know after all these years. The finale is the most I've ever been emotionally influenced by a film.Although this is an ensemble piece, Robert Downey Junior's Tony Stark/Iron Man is the big lead, the hero that started the whole universe off and all his scenes, his highs and low, are great.Thanos is in less of this, but the cool, collected planner still makes a great villain.Fans of the movie also get to see callbacks to so many plot points and surprise character appearances. (Although, some things might fly over your head if you can't remember or haven't had the time or inclination to watch everything.) In fact, be prepared for many surprises in general.There is some pretty serious subject matter here, especially the first act. However the script manages to nicely balance this with humor. Both Chris Hemsworth as Thor and Paul Rudd as Ant-Man have some great delivery and lines.The movie looks great. (Again, the ability to make Thanos' facial expressions look so realistic is amazing.) Although, I wished some scenes were lit a little brighter. You can't always make everything out. The final fight scene is amazing and may be considered one of the all time greats.Admittedly, the movie doesn't have quite the tension of Infinity Wars. The second act is interesting, but not as strong as the beginning or end.Considering the hype of Captain Marvel being in this, she really isn't used much. Karen Gillan does a great job as Nebula and she appears more than in any of her other films, but I kind of still wanted to see more interaction between her the and the other cast mates. A majority of characters from previous films are in this, but if you wanted to find out whatever happened to Lady Sif or Sharon Carter be prepared to be disappointed. I'm really surprised about Sharon, considering that the directors who forged her character did this movie, too.Overall, this movie was an event that will make you feel all the feels, and I recommend you see this before it's spoiled.P.S. Don't worry about sticking through the credits. No end final scene this time. (They really wanted to set this up as a final chapter.) Thought there is a slight something if you're a movie completionist.",6 Academy Close Labrador VIC 3025
"a word, BRILLIANT!THIS IS THE BEST MCU MOVIE SO FAR AND THAT'S THAT. I will miss this....",9 A'beckett Street St Albans  6169
"Not bad, good, but Infinity War far better. The Endgame is hm... Is too half-hearted and calculable.",3 A'beckett Street Hawthorn QLD 2340
"This is a tricky one to write when many people have still not seen the film, so no worries if you are reading this, there will be no spoilers. Look for the spoilers on The 602 Club podcast next Tuesday. If you listen to my podcasts or have read this blog, you know I am not afraid to be critical of Marvel movies when I feel it is warranted. Case in point, I felt like Infinity War was, “… a mixed bag that has the effect of one being served a gourmet burger and then only being given a minute to eat it. There is so much happening, yet there’s so little pay off, leaving the audience unfulfilled, wanting a better movie and resolution. We all know the conclusion is coming in 2019, so now that the compulsory is over, we wait and wait and wait.” It was frustrating to feel this way, specifically since I just didn’t feel much about the movie, other than ambivalence and this left me trepidatious for Endgame.So with that preamble, I know you are are all waiting eagerly for my thoughts on the end of the Infinity Stone Saga…. it is satisfying. That’s really what we want after this twenty-one film, eleven year investment, right? We want to be satisfied emotionally and thankfully Endgame is everything Infinity War was not in that department. The movie will capture you from start to finish. Personally I am happy with where my favorite characters are at the end and that is enough.With the three hour run time and the contrivances to overcome Thanos, there are some issues. The movie does feel a bit long, but it also plays out better than Infinity War. Where that movie left you feeling unable to focus because there were so many characters and not a moments rest, Endgame is able to take its time. This may be it’s greatest strength, that you don’t feel rushed, you’re allowed the opportunity to care about what’s happening because you’re not being whiplashed between stories every other minute. For my book, Endgame is the poignantly satisfying conclusion to this part of the Marvel saga I wanted. It is not the perfect movie but it’s the one we deserve. Endgame is rate 4 out of 5 Cap Shields.",16 Abercrombie Circuit Kilcoy VIC 3109
"Amazing movie, a fantastic conclusion to a saga that lasts 11 years. Not perfect in the complex, but of great impact and really exciting",1496 Adamson Crescent Malvern East VIC 6167
"Way, way, waaaaaay, way, way too long. Nothing else is even worth mentioning because it's 3 times longer than it should be.",29 Abercorn Crescent Cookernup QLD 850
"Whiny, boring and way too long. Captain marvel was forced into this movie to be a glorified intergalactic uber for two seconds. hulk goes into a teleporter with dr Phil and can now smash and do your taxes at the same time. Infinity stones used to cause instant death, but can now be held by anyone. Its gross that a movie this bad will inevitably be one of the most profitable movies of all time. The professional reviewers should be ashamed to give such a mediocre movie glowing reviews.",34 Achernar Close Enoggera NSW 4270
"I don't get the hype behind the movie. All that happened was that they went back in time and stolen the infinity stones before Thanos got them. Then thanos gets wind of it and travels to their time. Then a big fight happens where there's tons of booms and such. Everyone was playing 'keep away' with the stones. Some people were put on a mantle *coughmostlythefemalescough* while a few people died on screen. Then one hero uses the stones to 'snap' away all of thanos's troops, this guy dies and everyone gets sad over it. There's some narration by the dead dude and all other heroes continue on their day to day activities. That was the whole movie sum'ed up and honestly? This whole movie just felt really cliche'd and average at best. I wasn't that invested in anything and I actually grown bored with all the drama and sob stories that was constantly occurring. The action scenes were too flashy and just all over the place and while there was some unexplained plotholes in the film and even a large amount of dangling threads, I honestly think they're just planning on explaining those things in a future film or something. Regardless, not worth seeing unless you are heavily invested in the Marvel franchise you might like the movie but as for me, a person not invested heavily in the Marvel Franchise?  I thought it was just and average cliched film at best.",253 Ada Place Kirrawee NT 2580
"The movie left a bad taste unfortunately.- Wamen power was pushed obviously in one ""in your face"" scene and of course in every scene captain marvel is in, it was distasteful- Captain Marvel being pushed into the movie with some reshoots is damn so obvious, you can clearly tell her scenes feel very off- Nothing explained about the infinity stones, no conclusion to why what happenned. No answers to what happened to Titan, no answers to the mistery in the wisdom of the stones- First half of movie is very emotional and satisfying- Robert Downey Jr's best acting in his carreer was in this movie- Why did Loki die? What did he mean by ""you'll never be a god"" or ""sun will shine upon us once more""? No answers. And he seems to be permanently dead.- Thor is the most wasted character in the movie. He sacrificed the most, he lost the most, he suffered the most, yet here they make him an alcoholic Zakk Wylde with broken character riddled by insecurities playing Fortnite! He didn't get any redemption nor satisfaction, in the end he gave away what he already had as well, but what of his vision in Age of Ultron? What of his wisdom that pushed him off to go searching for infinity stones?- Movie feels to be changed dramatically after a sudden change of mind and if there is multiple cuts / alternatives for this movie this is not the best one among them, for the depth, immersion, feeling of a structure do not exist in this movie. All the characters and events are miles wide, inch deep.- This Thanos is not the same great antagonist we saw in the IW. He is shallow, insensitive, as a matter of fact, shallower than Ultron.- Action scenes are too chaotic, the fight sequences that focus on characters we saw in IW do not exist in this one. Just too much blend CG.When I came out the theater I asked myself: ""Are these the same guys who made the Infinity War?""",29 Abercrombie Circuit Colonel Light Gardens NSW 4053
"This movie has 4 mentionable issues, two small and two big, but overall it's a fun, entertaining, exciting, surprising at times, and emotional. Small issue #1. The Captain America Vs. Captain America fight could have easily been prevented by future Cap saying something only Cap would know. There's a better way to do that scene. Fight first then future Cap states only something Cap would know, ending the fight. Small issue #2: Pacing of the first act. At 3 hours, the movie mostly moves at a nice pace, but there was a bit of lag at the end of the first act. Big (and biggest) issue #1: Thanos finds out about the plan because past Nebula is on the same ""network"" as future Nebula?!?!? Future Nebula would know that might be a risk and/or would tell that they were reading her memories when she got to the past. That's really lazy writing and it the main plot point of brining Thanos into the fight.  A better way to do that is have either future Nebula infiltrate Thanos and get caught or Thanos intercepts the future Avenergs messages and is concerned enough to investigate and ends up catpuring future Nebula. Big issue #2: The ending with Cap on the bench and Bucky and Falcon watching him. In this scene, if there's one person who's going to approach Cap it's Bucky or both of them, but not Flacon. I mean they even made a whole movie about Bucky, not Falcon. Secondly, if Bucky would have went over there, would Cap have given HIM the shield or told Bucky to send Falcon over? (I'm cool with Falcon being Cap BTW). That's just for starters. The team throughout the movie were trying to prevent messing up the timeline by changing events, but Cap does just that. He goes back and marries Peggy preventing her from marrying her original husband and having her original kids (from Cap: TFA). This is a huge time ripple. In short, because there's so much awesome, funny, and exciting moments, it raises up an structurally 6/10 film to an 8.",21 Abercorn Crescent Ermington QLD 2088
"It's in my opinion the worst marvel movie I've seen and I've seen all except for the captian marvel movie. I loved the previous avengers movie, which I rated 9 out of 10. I was looking forward to the movie and got disappointed big time.Endgame is slow. I mean really slow. The first 2,5 h you barley see a action scene. It's full of plot holes, which make the movie unbelieveable. I know its fiction but that doesn't mean you can cut all the logic and get away with it. The plot itself was very predictable but there was not much plot left when you take the jokes and the fanservice away. The antagonist was reduced to the absolute minimum. Infinity War build Thanos as the best and complex villain in the MCU, just to turn him into a one dimensional world destroyer. They alter their characters in parodic ways. Some may find it funny but not me. The humor is also a big factor. Infinity War had funny moments but this was a absolute gatling gun fire of unnecessary jokes and none of them hit. The jokes were overdone and they rode the dead horse many times which lead me to hide my face behind my hands for most of the time.We need better ending to all these years of loyalty. So many things in this movie are unreasonable. This movie needs to be snapped out of existence...",15 Abbott Street Frankston NSW 3135
First of all the story is really boring. There are many scenes where u fallasleep. Also ironman and nebula rescue part is so weird and too fast and not explained well like they were in a hurry to make a short scene that they have been saved by Cpt Marvel. Really badly designed scene. Also no view about the civillians how they feel about their lost friends or families. Nothing we get only view from the avengers and only Earth. Another thing is that where Scott comes out from the quantum realm becuz this scene so fast and really not explained in any way. I know its a 3 hours long movie but sometimes if u cut the boring parts and replace with important part them everything will be okay. So the time travelling is a thing in many movies to fix a movie becuz the directors stupid to make a good movie. Now they split up to 3 groups to get the stones from the past but the biggest joke is they didnt try to get all from one time like before thanos snap. Thanos against thor surprise is really strong becuz he can kill Thanos. Why not travel back cut his arm and take the stones go back and thats all. But they choose the worst part to get the stones from the wrpng and complicated way. Also Thanos wasnt that great villain and the story badly explained about him the comics were way mich better than this idea. They used the bad time travel idea to kill Romanov. Also they use the stones in the end to kill tony stark. When Captain Marvel get the stones and able to snap and kill the villain but not she has a too stupid character. Also this movie killed 3 main characters to give it to the next generation and Captain Marvel character was so bad before and she will ruin the MCU and the others not enough good. Sorry Marvel thats not enough to be worthy like the comics. We got some villains and needed to kill 3 characters read the comics and checkout how many villains are there. Many acting were so bad sometimes they are forced ina scene to be there but totally not exist there., Adair Street Wandin North NSW 3954
"They said it would never happen. They said it would never be accomplished. But WOW,they’ve done it. I finally had a movie where the Italian Audience reacted to it like an American Audience,and it was glorious. Truly unforgettable. Anywho,the review.Yeah,it’s good. What did you expect? This big culmination of 10 Years worth of 300+ Movies to suck? You must love Jurassic World 2,then.All jokes aside,Avengers Endgame is a beautiful movie that somehow still puts the entire population in the world (Infinity War being just an anticipation of that) as main leads,and still make it a time at the theater full of poetry. Poetry that,for a Marvel movie,is still surrounded by sheer “MCU Formula” stupidity. Not as a whole,though.For a story that lasts 3h2’,this manages to go by pretty fast,like a 50 Minute TV Show Finale,even for one that deals with the casualties that Infinity War had,and just like final franchise movies,they mention almost the entire MCU,right down to the first Iron Man movie being an instrument for the story. The story goes by just like you thought it would go,and much more. Yes,there’s Time Travel (I’m allowed to say it,because other critics mentioned it),yes,there’s the traditional Marvel Formula (even if it lasts for,like,15 minutes in this hulking bowl of Seriousness) and it has a pretty easy structure to follow,which is surprising,considering that 3000 Characters and Time Travel in a Franchise movie are the recipe for a Box Office Flop. Several times they either repeat the same ole’ moment from *Insert MCU Movie name here* or they hint at that. Come to think of it,the structure of the story goes just like how Tony Stark has a great idea and it goes south real fast (remember Age Of Ultron? Good times…).The score by Alan Silvestri is alongside Thor Ragnarok and Black Panther at being the best MCU Score. At parts,it’s reminiscent of Forrest Gump (with the gratuitous melodramatic Violin or a piece mostly composed with Violins like the Theme or “They’re Sending Me To Vietnam”),and like every Final Movie in a Franchise,there are pieces from IW that are repeated in here (“Undying Fidelity”,”Even For You”,there’s a few...).If it has a shot at it (and unless another movie blows me away with that),this better have a Best VFX nom at the Oscars. So many pretty things (and CGI) to talk about in here that I can’t because it’s “Oh So Spoilery!”.But not everything is flawless,as this movie has some flaws that pissed me off A LOT. The First Act of the movie is enjoyable,but there are 2 jokes where they try to modernize it,to the point to where I’ve never thought a Marvel Movie could beat Ferdinand for a Dab joke (and you know I despise those things SO GODDAMN MUCH),and every minute of its runtime is pure Fan Wish Fulfillment,with a big,loud,bombastic 3rd Act that’ll make Nerds real happy. Just let me watch a movie,I don’t need a quote from a comic every 3 Seconds!Thanos got downgraded from the biggest threat of the MCU to “still threatening,but kind of an imbecile”. They try to make him as hateable as someone like Drago Bloodvist (from the How To Train Your Dragon series),but it ends up being a traditional ethic villain that threatens (I MEAN IT) to destroy the entire Galaxy with everything he has (a snap is not enough,huh?),with one decision in general that kinda made me angry,but still hope it’ll improve upon rewatch.Also,if you’re planning on an IMAX watch,see it in 2D,not in 3D. I almost had a headache for 3 hours of 3D Superhero Brawling.  But,aside from the jokes,what is there to really complain about? Just for too much Comedy and brutal decisions,I can see someone hating it a-la Last Jedi. SO MANY RISKS TAKEN IN HERE AND I LOVED EVERY SINGLE ONE OF THEM.But still,I had a great time,you’ll have a blast,your family and friends will,and everyone else will enjoy this epic conclusion in a Franchise that,ironically,half the world grew to love as time went by. This ain’t no Spider-Verse,but it’s the best thing the MCU could offer. Besides,I finally got to see an Audience bursting to tears (one girl holding them),so that’s a Big Plus for me. :-D",24 Abrahams Crescent St Clair VIC 2265
It kinda feels like they phoned it in this time around along with Captain Marvel being an objectively **** **** hero due to her powers. I dont know it just didnt feel right in the slightest in comparison to infinity war.,75 Adamson Crescent Casino  2756
"This was the funniest Marvel movie yet.  Lots of funny one-liners which makes this an enjoyable film.  It is too long at 3 hrs and the first 30 min drags, but it picks up and gets you invested.  It does get predictable at times and is the quintessential Hollywood blockbuster.  I was surprised how plot heavy this installment was (not much action until the second half).  Overall, a fine conclusion to the Avengers story line and worth a watch.",27 Abbott Street Bridgeman Downs VIC 4018
"If you look at the past of the Marvel Cinematic Universe; 11 years, 22 films, all leading up to Avengers: Endgame, one can definitely make the argument that this is one of the most ambitious films in human history. As someone who loves all sorts of movies, I do not make this statement lightly. To keep this as concise and spoiler-free as possible, this movie subverted my expectations in major ways, and I was not disappointed. I was grinning like a fool through the entire three hour runtime. There are some minor hiccups, but honestly, so much is tied up so nicely in this film, and Endgame will be a gold standard that epics measure themselves for years to come.",4 A'beckett Street Ashwood VIC 2101
This movie was okay. I am in love with thor because hes super awesome and sexy and captain america sucks i hate him hes so annoying. I was very disappointed with this movie because thor was fat and not sexy for almost the entire movie he barely fought. I almost cried when that idiot captain america was able to pick up thors hammer but i was even more mad when his eyes turned blue and he could do the lightning thing. Thor is way more awesome than captain america and in avengers end game it didnt seem like it. It was more of a comedy than an action and adventure movie. The ending was sad because my third favourite avenger iron man died I rly rly rly wish that it was captain america instead. But anyways thor is just super awesome and it would have been fine if he was fat for a bit then he was sexy and awesome again at the end for the fight scene but no he was fat and not awesome the entire time. I was super excited to see thor be all awesome and his eyes turn blue and lightning strikes everywhere like when he came into wakanda in infinity war but nooooo he was fat and not sexy. And also i didnt like captain marvels haircut and the first 2 hours of the movie suck and i wish that they at least made all the superheros awesome for the end. But instead they made everyone but the strongest avenger (thor) awesome. And i also like black panther and he was in it for like two seconds and i love tom holland and he was cute in it but he was only in it for like two seconds. So pretty much thor rules captain america drools but for some reason they made thor fat and not awesome at fighting and not sexy the whole movie so im very upset but obviously i still love thor with all my heart chris hemsworth is the sexiest man alive,47 Abercorn Crescent Beecroft SA 4020
"Way too many plot holes and inconsistencies to be a great movie. I have always been a Marvel fan , but this is unreasonable. The time conundrum's not withstanding , I feel , the Hulk and Thor were both pushed aside. Capt. Marvel is way too OP and Capt America wielding the Hammer better than Thor? Tony Stark wielding the Gauntlet that the Hulk couldn't take? Convenience is not a good excuse for poor storytelling. Don't even consider the time element. Nothing more than a money grab by Disney and Marvel. Sadly , the fans will flock and they will feel justified. The most important part of any movie is the story. It seems harder and harder to find a cogent and entertaining movie nowadays. Hundreds of millions of dollars and this is the story they come up with? Again , a fan of Marvel since childhood , I feel betrayed. As a child , I mowed lawns so I could buy my favorite Marvel comics. Hated DC and still not really receptive to their stories or characters. I felt the same way with The Last Jedi. So maybe it's a Disney thing. In summation , this movie is truly disappointing for me. A lifelong Marvel fan , maybe it's time to watch something else.",67 Achernar Close Leichhardt NSW 6210
"This is the biggest fail I ever seen. I loved precedent chapters, I really wonder how they could change an awesome heroic adventure into a poor comedy with no action (6 minutes of fight on 3 hours? Less?) I can't imagine how Hulk's or Thor's fans are thinking about it... I'm really disappointed on this closure.",38 Abbott Street Lakemba  6062
"Go ahead and watch the trailers for Avengers: Endgame, they won't give anything major away. It's amazing for a huge movie to be so self-aware of itself, as well as, the movie genres that they're overtly borrowing from. The minor characters or those not even in Avengers: Infinity War, step up and help set up huge sequences that are highly entertaining and actually answer questions. Avengers: Endgame acknowledges every aspect of the characters emotions in their previous MCU film's and succeeds in the most Meta way possible.Ant-Man is a major reason for this. It's no spoiler to say that he's in the film as he produces some of the biggest laughs from the trailer of him ringing the bell at the Avenger's front gate. It's Paul Rudd's wry jokes, quick timing and fish out of water facial expressions that really assist things.The pacing of Avengers: Endgame is amazing and not for the reasons you might think. It's brilliantly paced, but it throws the entire formula and how MCU films are done on their head. Battle, loss, battle, loss, humor and then victory, take those ingredients, shake well and you've got a loose description of some average superhero films.If Avengers: Infinity War left you feeling betrayed and bummed out, I feel you. Avengers: Endgame more than makes up for any ill feelings that it caused. I see why they played it the way they did, and doing so any other way would've cheapened the film, watered down the MCU and made it all disposable. It is also worth noting that the film balance lots of humor with the drama, all the while putting it in a nice bow with stones.What we're left with is a 10 year opus that spans more arcs than Lord of the Rings and encapsulates it all in a perfect manner. Granted, they will still make many MCU films, this is not their swan song. However, there is a victory lap feeling about Avengers: Endgame. It respects the fans, adds to the dramatic elements, answers questions that fans have wondered about and plants a couple new seeds to grow on.",33 Adamson Crescent Carlingford VIC 7171
